id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price_clean,estimated_revenue_l365d,est_monthly_revenue,estimated_occupancy_l365d,number_of_reviews,reviews_per_month,review_scores_rating,host_id,host_is_superhost,host_years,amenities_count,neighbourhood_listing_count,competition_level,quality_index
1246434133047334997,Renovated 2nd Floor Apartment,Hyde Park,42.25876,-71.11842,Entire rental unit,Entire home/apt,8,4.0,150.0,27000.0,2250.0,180,3,0.26,5.0,238931345,t,6.668493150684932,11,73,Low,-1.0284548770132833
1246543361357219840,Light filled 2-level home,South End,42.33915,-71.07723,Entire rental unit,Entire home/apt,4,2.0,338.0,0.0,0.0,0,0,,,23036330,f,10.917808219178083,10,291,Medium,
1247376125895588714,Boston Charm 1: Private Room Near Downtow,Dorchester,42.30218,-71.0624,Private room in home,Private room,2,1.0,76.0,19380.0,1615.0,255,74,6.03,4.78,33765183,t,10.356164383561644,27,572,High,-0.39960572571618136
1247821027960236061,Modern Cozy 3BR-2BA Apt Near T,Dorchester,42.31345,-71.0558,Entire rental unit,Entire home/apt,8,4.0,370.0,22200.0,1850.0,60,10,0.89,4.9,473301884,unknown,3.1397260273972605,49,572,High,1.4994318955155217
1247837975229872926,Travel: Therapy,East Boston,42.3774429,-71.03858319999999,Entire rental unit,Entire home/apt,4,3.0,96.0,23040.0,1920.0,240,40,3.41,4.83,38121625,f,10.213698630136987,48,229,Low,1.2550909757509354
1247890338382552485,Studio Sixteen,Roslindale,42.28689,-71.13246,Entire rental unit,Entire home/apt,2,1.0,129.0,10836.0,903.0,84,14,4.12,5.0,45852037,f,9.975342465753425,15,100,Low,-0.7365908682401313
1247943385870811031,Modern Home-like 3BR2BA Retreat/Near T,Dorchester,42.31384,-71.05528,Entire rental unit,Entire home/apt,9,4.0,381.0,57150.0,4762.5,150,25,2.16,4.68,473301884,unknown,3.1397260273972605,27,572,High,-0.6444270365323218
1249187553171160514,Luxury 2 Bedroom Condo Boston,East Boston,42.39078,-70.99749,Entire rental unit,Entire home/apt,4,2.0,180.0,0.0,0.0,0,0,,,61715880,f,9.558904109589042,10,229,Low,
1249242248686975661,Spacious North End Studio,North End,42.36541813212881,-71.05177217682787,Entire rental unit,Entire home/apt,2,1.0,181.0,46155.0,3846.25,255,7,0.57,5.0,2006852,t,13.506849315068493,36,112,Low,0.7956951778189162
1249966320204188058,Stylish Exposed Brick 3BR!,Downtown,42.35411048721918,-71.0630936948884,Entire rental unit,Entire home/apt,6,3.0,455.0,116025.0,9668.75,255,13,1.08,4.62,275849638,f,6.205479452054795,28,376,High,-0.7183538208287163
